order_id,product,category,amount
1,Mouse,Electronics,31154.0
2,Keyboard,Electronics,15708.0
3,Keyboard,Electronics,21960.0
4,Keyboard,Electronics,19886.0
5,Keyboard,Electronics,43910.0
6,Mouse,Electronics,23887.0
7,Headphones,Electronics,22332.0
8,Laptop,Electronics,17556.0
9,Keyboard,Electronics,26089.0
10,Monitor,Electronics,49830.0
11,Headphones,Electronics,0.0
12,Keyboard,Electronics,34619.0
13,Keyboard,Electronics,29258.0
14,Mouse,Electronics,18912.0
15,Mouse,Electronics,41997.0
16,Mouse,Electronics,23961.0
17,Mouse,Electronics,16677.0
18,Keyboard,Electronics,2496.0
19,Keyboard,Electronics,10339.0
20,Mouse,Electronics,38314.0
21,Headphones,Electronics,0.0
22,Headphones,Electronics,38356.0
23,Mouse,Electronics,8247.0
24,Laptop,Electronics,31750.0
25,Keyboard,Electronics,21775.0
26,Keyboard,Electronics,19286.0
27,Monitor,Electronics,2107.0
28,Laptop,Electronics,44662.0
29,Headphones,Electronics,19461.0
30,Headphones,Electronics,49212.0
31,Monitor,Electronics,33285.0
32,Mouse,Electronics,19262.0
33,Mouse,Electronics,38504.0
34,Keyboard,Electronics,18885.0
35,Monitor,Electronics,45556.0
36,Keyboard,Electronics,21007.0
37,Laptop,Electronics,24105.0
38,Mouse,Electronics,11938.0
39,Headphones,Electronics,22432.0
40,Monitor,Electronics,23456.0
41,Keyboard,Electronics,3157.0
42,Keyboard,Electronics,48537.0
43,Headphones,Electronics,1449.0
44,Headphones,Electronics,34065.0
45,Keyboard,Electronics,14664.0
46,Monitor,Electronics,41188.0
47,Laptop,Electronics,33109.0
48,Headphones,Electronics,3911.0
49,Mouse,Electronics,24559.0
50,Monitor,Electronics,12335.0
51,Laptop,Electronics,12426.0
52,Monitor,Electronics,39940.0
53,Monitor,Electronics,49088.0
54,Keyboard,Electronics,33790.0
55,Mouse,Electronics,8543.0
56,Keyboard,Electronics,23990.0
57,Laptop,Electronics,24093.0
58,Mouse,Electronics,12404.0
59,Headphones,Electronics,28882.0
60,Monitor,Electronics,21148.0
61,Keyboard,Electronics,13575.0
62,Keyboard,Electronics,32437.0
63,Keyboard,Electronics,11033.0
64,Monitor,Electronics,22288.0
65,Headphones,Electronics,25785.0
66,Laptop,Electronics,49579.0
67,Monitor,Electronics,43613.0
68,Headphones,Electronics,5269.0
69,Monitor,Electronics,41588.0
70,Mouse,Electronics,46996.0
71,Laptop,Electronics,20233.0
72,Monitor,Electronics,24496.0
73,Laptop,Electronics,39568.0
74,Mouse,Electronics,18276.0
75,Laptop,Electronics,4208.0
76,Monitor,Electronics,16305.0
77,Monitor,Electronics,42089.0
78,Laptop,Electronics,24755.0
79,Headphones,Electronics,5980.0
80,Keyboard,Electronics,6584.0
81,Mouse,Electronics,39876.0
82,Laptop,Electronics,44188.0
83,Monitor,Electronics,34622.0
84,Laptop,Electronics,5722.0
85,Headphones,Electronics,2936.0
86,Headphones,Electronics,31525.0
87,Mouse,Electronics,21878.0
88,Keyboard,Electronics,25305.0
89,Keyboard,Electronics,19494.0
90,Monitor,Electronics,3109.0
91,Mouse,Electronics,41193.0
92,Mouse,Electronics,10308.0
93,Headphones,Electronics,31758.0
94,Laptop,Electronics,29479.0
95,Headphones,Electronics,48086.0
96,Headphones,Electronics,11428.0
97,Mouse,Electronics,10540.0
98,Monitor,Electronics,930.0
99,Monitor,Electronics,34766.0
100,Monitor,Electronics,10381.0
101,Keyboard,Electronics,5080.0
102,Monitor,Electronics,16210.0
103,Laptop,Electronics,5837.0
104,Keyboard,Electronics,36742.0
105,Mouse,Electronics,38488.0
106,Laptop,Electronics,7300.0
107,Laptop,Electronics,40529.0
108,Laptop,Electronics,4040.0
109,Headphones,Electronics,10587.0
110,Keyboard,Electronics,25622.0
111,Keyboard,Electronics,43381.0
112,Monitor,Electronics,13586.0
113,Keyboard,Electronics,5378.0
114,Keyboard,Electronics,22916.0
115,Monitor,Electronics,4079.0
116,Laptop,Electronics,11346.0
117,Headphones,Electronics,24751.0
118,Mouse,Electronics,19276.0
119,Headphones,Electronics,14431.0
120,Headphones,Electronics,23468.0
121,Laptop,Electronics,40007.0
122,Mouse,Electronics,22582.0
123,Laptop,Electronics,38885.0
124,Laptop,Electronics,29190.0
125,Headphones,Electronics,42536.0
126,Headphones,Electronics,38557.0
127,Headphones,Electronics,25639.0
128,Laptop,Electronics,37700.0
129,Mouse,Electronics,48020.0
130,Headphones,Electronics,43985.0
131,Laptop,Electronics,10360.0
132,Laptop,Electronics,48226.0
133,Mouse,Electronics,21816.0
134,Laptop,Electronics,46560.0
135,Mouse,Electronics,14495.0
136,Monitor,Electronics,31341.0
137,Laptop,Electronics,31067.0
138,Keyboard,Electronics,5116.0
139,Monitor,Electronics,17256.0
140,Keyboard,Electronics,31271.0
141,Mouse,Electronics,2283.0
142,Monitor,Electronics,15166.0
143,Mouse,Electronics,48793.0
144,Keyboard,Electronics,9049.0
145,Keyboard,Electronics,43255.0
146,Laptop,Electronics,16106.0
147,Keyboard,Electronics,48045.0
148,Mouse,Electronics,36113.0
149,Headphones,Electronics,33623.0
150,Keyboard,Electronics,1585.0
151,Mouse,Electronics,32057.0
152,Keyboard,Electronics,4107.0
153,Mouse,Electronics,21779.0
154,Monitor,Electronics,14747.0
155,Monitor,Electronics,48245.0
156,Keyboard,Electronics,6776.0
157,Headphones,Electronics,41989.0
158,Monitor,Electronics,42185.0
159,Laptop,Electronics,12343.0
160,Mouse,Electronics,47074.0
161,Laptop,Electronics,25489.0
162,Mouse,Electronics,6707.0
163,Laptop,Electronics,6744.0
164,Laptop,Electronics,3356.0
165,Keyboard,Electronics,17890.0
166,Headphones,Electronics,4983.0
167,Mouse,Electronics,9056.0
168,Laptop,Electronics,5429.0
169,Headphones,Electronics,1446.0
170,Laptop,Electronics,44472.0
171,Monitor,Electronics,41443.0
172,Headphones,Electronics,38501.0
173,Laptop,Electronics,33831.0
174,Keyboard,Electronics,47232.0
175,Headphones,Electronics,12950.0
176,Laptop,Electronics,2878.0
177,Mouse,Electronics,28431.0
178,Monitor,Electronics,17143.0
179,Laptop,Electronics,8015.0
180,Headphones,Electronics,24632.0
181,Monitor,Electronics,32517.0
182,Monitor,Electronics,20346.0
183,Monitor,Electronics,28879.0
184,Monitor,Electronics,34814.0
185,Mouse,Electronics,44289.0
186,Monitor,Electronics,49637.0
187,Mouse,Electronics,2486.0
188,Headphones,Electronics,39811.0
189,Headphones,Electronics,14817.0
190,Laptop,Electronics,29330.0
191,Monitor,Electronics,32557.0
192,Headphones,Electronics,36269.0
193,Monitor,Electronics,19248.0
194,Monitor,Electronics,6670.0
195,Headphones,Electronics,43681.0
196,Mouse,Electronics,16798.0
197,Laptop,Electronics,6057.0
198,Keyboard,Electronics,23854.0
199,Headphones,Electronics,26291.0
200,Monitor,Electronics,21677.0
201,Monitor,Electronics,22964.0
202,Laptop,Electronics,12897.0
203,Mouse,Electronics,33838.0
204,Laptop,Electronics,35471.0
205,Mouse,Electronics,33720.0
206,Laptop,Electronics,40211.0
207,Laptop,Electronics,18288.0
208,Keyboard,Electronics,1113.0
209,Mouse,Electronics,23287.0
210,Laptop,Electronics,28193.0
211,Laptop,Electronics,42442.0
212,Keyboard,Electronics,29739.0
213,Mouse,Electronics,11771.0
214,Keyboard,Electronics,28855.0
215,Laptop,Electronics,38340.0
216,Laptop,Electronics,42968.0
217,Monitor,Electronics,2721.0
218,Monitor,Electronics,35325.0
219,Mouse,Electronics,37028.0
220,Headphones,Electronics,28243.0
221,Headphones,Electronics,37153.0
222,Mouse,Electronics,46814.0
223,Keyboard,Electronics,4415.0
224,Headphones,Electronics,19270.0
225,Laptop,Electronics,15800.0
226,Monitor,Electronics,42264.0
227,Headphones,Electronics,5045.0
228,Laptop,Electronics,38941.0
229,Mouse,Electronics,20884.0
230,Headphones,Electronics,37101.0
231,Laptop,Electronics,30280.0
232,Mouse,Electronics,20099.0
233,Monitor,Electronics,34165.0
234,Mouse,Electronics,39380.0
235,Laptop,Electronics,12705.0
236,Laptop,Electronics,26837.0
237,Headphones,Electronics,5415.0
238,Keyboard,Electronics,36745.0
239,Keyboard,Electronics,11216.0
240,Keyboard,Electronics,49519.0
241,Monitor,Electronics,44156.0
242,Headphones,Electronics,32741.0
243,Headphones,Electronics,28152.0
244,Monitor,Electronics,43733.0
245,Mouse,Electronics,2890.0
246,Mouse,Electronics,27264.0
247,Mouse,Electronics,23046.0
248,Mouse,Electronics,48085.0
249,Laptop,Electronics,6997.0
250,Mouse,Electronics,9516.0
251,Laptop,Electronics,7332.0
252,Laptop,Electronics,24619.0
253,Mouse,Electronics,44308.0
254,Mouse,Electronics,28901.0
255,Mouse,Electronics,37531.0
256,Laptop,Electronics,38322.0
257,Laptop,Electronics,10416.0
258,Laptop,Electronics,5309.0
259,Monitor,Electronics,34012.0
260,Laptop,Electronics,24550.0
261,Headphones,Electronics,36093.0
262,Mouse,Electronics,9959.0
263,Monitor,Electronics,43701.0
264,Headphones,Electronics,41470.0
265,Keyboard,Electronics,2943.0
